COUNTRY,x,y
American Samoa,-569.0024387248327,-63.58094216786906
United States Minor Outlying Islands,555.460011324988,85.78687027651539
Cook Islands,-532.6256290317419,-94.32272557066595
French Polynesia,-498.0013890366588,-78.55415146720301
Niue,-566.2292702233028,-84.67692985246191
Pitcairn,-427.7166162091937,-108.29387443362425
Samoa,-574.8035885246712,-60.596679792331656
Tokelau,-572.8421983574248,-40.86744341002909
Tonga,-584.0138626170416,-94.04120945883791
Wallis and Futuna,-593.7578518592395,-63.481965812563004
El Salvador,-296.19704964129954,61.14685118691297
Guatemala,-301.0406449706539,70.3150156237897
Mexico,-338.5133243876706,106.10826969304853
Canada,-328.05601726226877,255.77991130958065
Argentina,-215.10795012810254,-158.65453563608926
Falkland Islands,-195.82215454599952,-230.04005834518782
Chile,-235.89544772464052,-168.1305903577763
Ecuador,-261.5434420365713,-6.952320617268052
Peru,-247.04720655939616,-37.878746596623515
Bolivia,-214.8403199170402,-74.36110595269955
Brazil,-181.1840220275214,-51.220579628562895
Paraguay,-194.63021191428837,-104.09735818930791
Uruguay,-186.73065078193616,-145.69755750360414
South Georgia and South Sandwich Islands,-122.58365252996427,-241.67406417165063
Antarctica,-591.8817204469615,-342.97722317403725
Fiji,593.2714871244209,-79.21098201038313
Saint Helena,-19.05797206937703,-70.94650363706843
Anguilla,-210.2002781257269,80.99055112986261
Antigua and Barbuda,-205.9510274408791,75.87318930546519
Aruba,-233.2521338094682,55.62500321330177
Bahamas,-260.2425123353438,109.87389482874596
Barbados,-198.5246131638343,58.59208608594457
Belize,-295.6091170007814,76.63344340654022
Bermuda,-215.81950019972302,143.62252191440322
Bonaire,-227.64501486529204,54.137088810845945
British Virgin Islands,-215.4135506419233,81.87536976087587
Cayman Islands,-270.8401069659293,85.82769691386795
Colombia,-242.148355414495,18.61223945490106
Costa Rica,-280.4891208567272,43.837632921805394
Cuba,-265.66059525395684,95.44967343497532
Curacao,-229.89799228663472,54.222207324177035
Dominica,-204.53490648981,68.57453271529117
Dominican Republic,-234.78317328400038,83.46465860102192
French Guiana,-177.7410769052208,17.1441321888759
Grenada,-205.5979312401366,53.835229583728484
Guadeloupe,-205.14607540942518,72.19644456469125
Guyana,-196.37842042515555,20.80942139489138
Haiti,-242.97637932806666,83.92675771992697
Honduras,-288.3083893002321,65.5127586477778
Jamaica,-257.6786298180926,80.54257285962893
Martinique,-203.3810793625028,65.07865490487842
Montserrat,-207.28977604187517,74.37939285093492
Nicaragua,-283.38696109223,57.30474058635802
Panama,-267.1476253827599,37.509052220341744
Puerto Rico,-221.64751131978363,80.96099594049295
Saba,-210.7913160636498,78.36672273950987
Saint Barthelemy,-209.43505366683854,79.5805196107439
Saint Eustatius,-209.92743529815013,77.74179657519866
Saint Kitts and Nevis,-209.1520128631929,76.95438355372342
Saint Lucia,-203.229836978417,61.75888526724403
Saint Martin,-210.22261751206486,80.34672050321984
Saint Pierre and Miquelon,-187.74884511458527,208.67350727178658
Saint Vincent and the Grenadines,-203.97922118131015,58.91025832431401
Sint Maarten,-210.22943786384343,80.17522704280347
Suriname,-186.18504770520428,18.21654931520076
Trinidad and Tobago,-204.5745526658749,46.291180614658195
Turks and Caicos Islands,-239.13529822705027,96.88829078881665
US Virgin Islands,-215.87184471365993,78.83559870565566
Venezuela,-221.21640453283774,31.770332268920477
Burkina Faso,-5.644272070614108,53.81648460583438
Cabo Verde,-78.7800335300158,67.00627341622953
Côte d'Ivoire,-18.572367316392448,33.49679679742803
Gambia,-51.27793461956554,59.682746485285904
Ghana,-4.064111208421937,35.31246521082792
Gibraltar,-17.818498281981192,160.6232298371592
Guinea,-36.62316282680073,45.582162406124944
Guinea-Bissau,-49.933955856369494,53.244779221424466
Liberia,-30.863296451658726,28.97835463994818
Mali,-14.487999472603844,76.30287203815483
Mauritania,-34.98359681678572,90.96324983475566
Morocco,-29.39070862416937,127.50043615546367
Portugal,-26.445540612913355,176.33463176453947
Senegal,-48.70291789450768,63.23938440783734
Sierra Leone,-39.2885565243705,38.05035726555816
Greenland,-140.25225960223284,329.6376541762664
Guernsey,-8.587975276305228,219.81647872794989
Ireland,-27.47042848518032,236.91064621406647
Isle of Man,-15.109983518228164,241.01579115591161
Jersey,-7.09720038755119,218.73509744766363
United Kingdom,-9.509813031097528,239.90421044800954
Iceland,-63.5227655702033,289.43826312024504
Faroe Islands,-23.270353637707615,276.137316806646
Svalbard,53.45459617168428,349.21417495420565
Bouvet Island,11.373231550192092,-241.8807413064555
New Zealand,568.9678513809565,-194.78957477975226
Angola,58.83922927693,-54.07744027852419
Botswana,79.52599856652027,-98.8293733425018
Burundi,99.61727426150978,-14.494453303460636
Comoros,144.49421958098011,-51.81716210892664
Congo,49.59910949830464,-3.2419518201039312
Congo DRC,78.06609191427397,-14.838353760923983
Gabon,39.464702995152514,-2.7931042663165955
Kenya,126.5103137087457,3.066303252611635
Lesotho,94.14917726214091,-131.56302741888075
Malawi,114.11470607662937,-58.351050951929
Juan De Nova Island,142.47915870298817,-75.8421863835913
Mozambique,117.36192343763392,-77.88991248661667
Namibia,60.54837819484227,-97.37147392362102
Rwanda,99.73146560588026,-8.954166489098462
Sao Tome and Principe,22.020529322858692,1.0108757464352787
South Africa,82.50842488296946,-126.90497469687693
Eswatini,105.03561915360669,-118.05573749159426
Tanzania,116.06107353534604,-28.247975289071764
Zambia,92.51737878102986,-58.50147979193888
Zimbabwe,99.05943213573615,-84.12000542139889
British Indian Ocean Territory,241.45005394920054,-32.54910419726997
French Southern Territories,231.82289949082798,-218.94798609358415
Heard Island and McDonald Islands,244.97661869480152,-235.92964460228328
Madagascar,155.61644889441814,-84.6294938885796
Mauritius,191.88052236888487,-90.13965855445325
Mayotte,150.42714109010353,-56.997637405782456
Glorioso Islands,157.6364936051446,-51.40544387397074
Réunion,185.14645020648965,-93.86589093628936
Seychelles,184.90835965318422,-20.711121416989972
Algeria,8.852821573256378,126.0043099772847
Benin,7.685715096100687,42.23561422051508
Cameroon,43.16158047466089,27.974082166582185
Central African Republic,68.40247806465753,28.139511261974754
Chad,61.42371300121009,67.92663798513114
Equatorial Guinea,34.751522241179416,7.090952860706992
Kiribati,-524.6341396441169,8.300743888551585
Libya,59.704446415141234,120.90184787418133
Malta,48.139741475028316,159.51343400399696
Niger,29.562108233421537,75.91579521810186
Nigeria,27.159049484187317,42.712415645965024
Togo,2.996952523703228,38.49219127874583
Tunisia,32.18625172326614,151.49494131403216
Cyprus,111.25115336399736,156.0755740597884
Djibouti,142.0449896626317,52.223269900528024
Egypt,100.80045145004112,118.24520153113903
Eritrea,130.89080048330032,66.6912584340786
Ethiopia,133.04967628848095,38.79728692021509
Greece,77.0345631205396,175.20054496568793
Iraq,146.10843060352292,147.13366963345737
Israel,116.75974490812342,140.06018764463644
Jordan,123.19096281824154,139.49806615310737
Lebanon,119.65506487749165,150.7182298098705
Palestinian Territory,117.4750394718196,141.91474993979503
South Sudan,101.28395230059601,34.034586852281315
Sudan,99.83819427864688,69.64712137707805
Syria,128.37244104650466,155.98893804703627
Turkey,118.56289213588971,173.03143836103985
Uganda,107.8123922821041,5.698546319296091
Andorra,5.267414537077624,189.10488154910064
United States,-321.10538869432133,172.536928529024
France,7.313412209295409,207.2994142975182
Liechtenstein,31.825582241254587,209.53900276146828
Monaco,24.709402910903986,194.4354766664736
Switzerland,27.623095982984285,207.7190279415528
Belgium,15.583367182321618,224.96983949070892
Germany,34.75390475810268,227.0357573244659
Luxembourg,20.344101128196254,221.22326464632752
Netherlands,18.51378808709496,231.70690723966172
Albania,66.87027589089831,182.85181755074026
Austria,45.99259454877012,211.69714786620355
Bosnia and Herzegovina,59.448908026251274,196.19623805006353
Croatia,55.41920376527791,199.60853781585342
Czech Republic,51.27757764007844,221.10743870804367
Denmark,31.262235141364688,248.89416968760253
Hungary,64.65400161220474,209.8901036660575
Italy,42.545523887077124,191.03116122730077
Montenegro,64.3168362385586,189.9419926760202
Poland,64.78577597448228,231.4154691418877
San Marino,41.53759449860574,195.30142546265733
Serbia,69.52258147985816,195.6746608947542
Slovakia,65.27005120830323,216.43592846757707
Slovenia,49.63545633324593,205.05596575842242
North Macedonia,72.36663079575906,184.86235067302724
Vatican City,41.5043763900871,186.24010450296603
Norway,55.56753090796965,288.790039242122
Sweden,56.874773293349854,278.8187104937088
Belarus,93.21417351571702,237.63517220191838
Bulgaria,84.17246374187303,190.3130523245528
Estonia,86.3895675021127,260.6582591610269
Finland,85.52461444849007,288.9590648777738
Georgia,144.59622178037415,187.46605678832114
Latvia,82.31223775218135,252.50601354468517
Lithuania,79.82007201671178,245.75277304076334
Moldova,94.63703955313783,209.21141092475378
Romania,83.64719400521096,203.66466197322606
Ukraine,104.24590694808786,216.25570006917243
Afghanistan,221.97387103650925,151.70678228341922
Bahrain,168.46898467425592,115.76882229053628
India,270.5766802843394,104.82800252331876
Iran,180.79025667021813,146.2489944128447
Kuwait,158.54370364400614,130.13938206863597
Maldives,243.6692081713493,-2.6958120746710774
Nepal,280.44629943785566,125.78186977669182
Oman,186.13696039943002,92.107925859204
Pakistan,230.29450302565505,133.84972609515947
Qatar,170.65983062477343,112.5267932730017
Saudi Arabia,148.66986059408535,107.27128064336844
Somalia,151.33459557479907,28.997931436017442
Sri Lanka,268.89770565902074,34.2072486192442
Tajikistan,236.47384270218993,171.41925059479877
Turkmenistan,194.859119209018,173.60307191117462
United Arab Emirates,180.93068419298604,107.47779076929488
Yemen,158.22719310687955,71.11730051692199
Armenia,150.1830277321753,178.5707232991413
Azerbaijan,162.11530890214772,179.5202266409107
Kazakhstan,221.2530644931003,211.73984531189708
Kyrgyzstan,247.2510967822773,183.80884024170481
Uzbekistan,212.84943253132835,184.39069566428134
Christmas Island,352.34031707335157,-46.42862578748185
Cocos Islands,322.7896255774334,-54.094442000886865
Indonesia,379.88460822824345,0.69297688706834
Timor-Leste,419.834134985422,-39.15508724711983
Australia,446.74257236387206,-114.21038966214702
Nauru,556.4312544379726,-2.3204539736306633
New Caledonia,551.6922346812871,-94.80014989603676
Norfolk Island,559.841986582778,-129.05624197798346
Papua New Guinea,482.7829809982317,-31.808501418453933
Solomon Islands,533.8825265011295,-42.724909931540076
Tuvalu,597.39277992531,-37.843117806432105
Vanuatu,556.163757855658,-67.50725387421926
Cambodia,350.13243595602336,56.4408305133679
Laos,345.87919663421496,80.52125660832569
Malaysia,382.1110101330956,16.318492691727936
Myanmar,323.62974284657815,88.4499019173328
Singapore,346.03419192113506,6.012556395558377
Thailand,336.9558372071517,60.72101265535725
Vietnam,353.0446277586235,73.4104318703973
Bangladesh,301.4404187536204,105.21657184498223
Bhutan,301.55722157246197,121.87395262043663
China,348.97046186165346,169.21446582692127
Brunei Darussalam,382.14365278682135,20.1920261774116
Philippines,406.07363138055814,69.27352111597442
South Korea,425.87415171192157,161.78838538908497
Mongolia,344.662453442485,209.27308687132674
North Korea,424.4599352179147,178.63102628759285
Guam,482.60081527662675,59.757468799756786
Japan,458.2311411450612,163.41061478212572
Marshall Islands,562.4005341783692,32.479688448863755
Micronesia,527.4306331481757,30.573088057446864
Northern Mariana Islands,485.8039912401045,67.45806007303163
Palau,448.5988362240351,33.48789267798843
Russian Federation,328.90166356601065,262.39748539602755
Spain,-12.172083803318992,179.4000370519282
Canarias,-55.1266480340549,125.76740047344686
